review,sentiment
Movie was amazing,Positive
Excellent acting and story,Positive
I loved this movie,Positive
Fantastic film,Positive
Wonderful experience,Positive
Brilliant direction,Positive
Highly recommended,Positive
Best movie ever,Positive
Superb screenplay,Positive
Amazing visuals,Positive
Movie was boring,Negative
Worst movie ever,Negative
I hated this movie,Negative
Very bad acting,Negative
Waste of time,Negative
Poor story,Negative
Terrible experience,Negative
Not interesting,Negative
Disappointing film,Negative
Awful direction,Negative
